INFO  - 2014-11-12 17:17:47.839; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-11-12 17:17:47.848; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@7a02083b[collection1] main
INFO  - 2014-11-12 17:17:47.855; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /SOLR/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-12 17:17:47.856; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/SOLR/solr-4.10.2/example/solr/collection1/conf}
INFO  - 2014-11-12 17:17:47.858; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/SOLR/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-12 17:17:47.866; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/SOLR/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-12 17:17:47.867; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2014-11-12 17:17:47.867; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2014-11-12 17:17:47.867; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/SOLR/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-12 17:17:47.869; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/SOLR/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-12 17:17:47.869; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2014-11-12 17:17:47.870; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2014-11-12 17:17:47.870; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2014-11-12 17:17:47.871; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/SOLR/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-12 17:17:47.872; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/SOLR/solr-4.10.2/example/solr/collection1/conf
INFO  - 2014-11-12 17:17:47.873; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2014-11-12 17:17:47.874; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2014-11-12 17:17:47.877; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2014-11-12 17:17:47.878; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-11-12 17:17:47.885; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-11-12 17:17:47.893; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-11-12 17:17:47.895; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2014-11-12 17:17:47.897; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-11-12 17:17:47.915; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-11-12 17:17:47.917; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /SOLR/solr-4.10.2/example/solr/collection1/conf/elevate.xml
INFO  - 2014-11-12 17:17:47.952; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2014-11-12 17:17:47.953; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@7a02083b[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
